customer_id,country,first_invoice_date,last_invoice_date,transaction_line_count,completed_sales_amount,cancelled_amount
12346,United Kingdom,2011-01-18 10:01:00,2011-01-18 10:17:00,2,77183.6,77183.6
12347,Iceland,2010-12-07 14:57:00,2011-12-07 15:52:00,182,4310.0,0.0
12348,Finland,2010-12-16 19:09:00,2011-09-25 13:13:00,31,1797.24,0.0
12349,Italy,2011-11-21 09:51:00,2011-11-21 09:51:00,73,1757.55,0.0
12350,Norway,2011-02-02 16:01:00,2011-02-02 16:01:00,17,334.4,0.0
12352,Norway,2011-02-16 12:33:00,2011-11-03 14:37:00,95,2506.04,960.63
12353,Bahrain,2011-05-19 17:47:00,2011-05-19 17:47:00,4,89.0,0.0
12354,Spain,2011-04-21 13:11:00,2011-04-21 13:11:00,58,1079.4,0.0
12355,Bahrain,2011-05-09 13:49:00,2011-05-09 13:49:00,13,459.4,0.0
12356,Portugal,2011-01-18 09:50:00,2011-11-17 08:40:00,59,2811.43,0.0
12357,Switzerland,2011-11-06 16:07:00,2011-11-06 16:07:00,131,6207.67,0.0
12358,Austria,2011-07-12 10:04:00,2011-12-08 10:26:00,19,1168.06,0.0
12359,Cyprus,2011-01-12 12:43:00,2011-12-02 11:21:00,254,6372.58,127.05
12360,Austria,2011-05-23 09:43:00,2011-10-18 15:22:00,129,2662.06,0.0
12361,Belgium,2011-02-25 13:51:00,2011-02-25 13:51:00,10,189.9,0.0
12362,Belgium,2011-02-17 10:30:00,2011-12-06 15:40:00,274,5226.23,71.65
12363,Unspecified,2011-04-11 13:29:00,2011-08-22 10:18:00,23,552.0,0.0
12364,Belgium,2011-08-19 15:24:00,2011-12-02 10:22:00,85,1313.1,0.0
12365,Cyprus,2011-02-21 13:51:00,2011-02-21 14:04:00,23,641.38,320.69
12367,Denmark,2011-12-05 16:48:00,2011-12-05 16:48:00,11,168.9,0.0
12370,Cyprus,2010-12-14 12:58:00,2011-10-19 14:51:00,167,3545.69,0.0
12371,Switzerland,2011-10-11 10:43:00,2011-10-26 10:16:00,63,1887.96,0.0
12372,Denmark,2011-02-16 12:46:00,2011-09-29 12:12:00,52,1298.04,0.0
12373,Austria,2011-02-01 13:10:00,2011-02-01 13:10:00,14,364.6,0.0
12374,Austria,2011-11-14 15:37:00,2011-11-14 15:37:00,33,742.93,0.0
12375,Finland,2011-09-02 14:23:00,2011-12-07 11:27:00,18,457.5,2.08
12377,Switzerland,2010-12-20 09:37:00,2011-01-28 15:45:00,77,1628.12,0.0
12378,Switzerland,2011-08-02 10:34:00,2011-08-02 10:34:00,219,4008.62,0.0
12379,Belgium,2011-06-22 16:32:00,2011-09-19 10:09:00,41,852.24,1.95
12380,Belgium,2011-06-07 09:49:00,2011-11-18 11:27:00,105,2724.81,4.25
12381,Norway,2011-08-12 09:57:00,2011-12-05 12:44:00,91,1845.31,41.35
12383,Belgium,2010-12-22 14:28:00,2011-06-08 08:02:00,100,1850.56,11.25
12384,Switzerland,2011-08-10 11:23:00,2011-11-11 08:39:00,30,585.27,19.11
12386,Australia,2010-12-08 09:53:00,2011-01-06 12:37:00,10,401.9,0.0
12388,Australia,2011-01-17 11:12:00,2011-11-24 12:30:00,100,2780.66,0.0
12390,Belgium,2011-09-21 09:33:00,2011-09-21 09:33:00,32,549.84,0.0
12391,Cyprus,2011-11-18 12:07:00,2011-11-18 12:07:00,100,460.89,0.0
12393,Australia,2011-01-11 09:47:00,2011-09-28 15:41:00,64,1582.6,0.0
12394,Belgium,2011-05-06 14:01:00,2011-10-07 08:08:00,27,1272.48,0.0
12395,Belgium,2010-12-03 16:35:00,2011-11-24 12:20:00,159,3018.63,20.35
12397,Belgium,2011-07-27 14:21:00,2011-11-04 09:52:00,126,2409.9,0.0
12398,Switzerland,2011-10-25 10:27:00,2011-10-25 10:27:00,85,1635.66,0.0
12399,Belgium,2011-03-23 09:42:00,2011-08-12 13:15:00,59,1108.65,0.0
12401,Belgium,2011-02-09 13:50:00,2011-02-09 13:50:00,5,84.3,0.0
12402,Belgium,2011-01-20 13:49:00,2011-01-20 13:49:00,11,225.6,0.0
12403,Denmark,2011-10-21 10:51:00,2011-10-21 11:00:00,6,427.7,18.0
12405,Finland,2011-07-14 08:52:00,2011-07-14 08:52:00,54,1710.39,0.0
12406,Denmark,2011-06-09 10:23:00,2011-11-17 19:22:00,108,3415.3,134.55
12407,Belgium,2011-03-20 13:21:00,2011-10-21 10:11:00,77,1708.12,0.0
12408,Belgium,2011-03-24 14:46:00,2011-11-07 12:30:00,113,2888.55,45.98
12409,Switzerland,2011-06-10 12:19:00,2011-09-22 10:38:00,114,11072.67,15.74
12410,Switzerland,2011-02-04 10:38:00,2011-02-11 15:47:00,28,693.33,12.25
12412,Denmark,2011-06-23 13:51:00,2011-09-26 10:16:00,61,1226.88,0.0
12413,France,2011-01-06 16:12:00,2011-10-04 09:00:00,40,758.1,63.95
12414,Austria,2011-02-02 14:51:00,2011-05-06 14:51:00,18,562.41,0.0
12415,Australia,2011-01-06 11:12:00,2011-11-15 14:22:00,778,124914.53,1189.08
12417,Belgium,2010-12-17 11:51:00,2011-12-06 14:52:00,198,3649.1,70.3
12418,Switzerland,2011-08-19 11:08:00,2011-08-19 11:08:00,34,668.58,0.0
12420,Cyprus,2011-10-07 08:55:00,2011-10-07 08:55:00,29,600.39,0.0
12421,Spain,2011-01-24 15:09:00,2011-11-24 09:07:00,46,807.04,0.77
12422,Australia,2011-01-19 09:13:00,2011-09-05 09:48:00,39,803.56,0.0
12423,Belgium,2010-12-21 10:54:00,2011-12-09 10:10:00,126,1859.31,10.2
12424,Australia,2011-06-30 12:06:00,2011-06-30 12:06:00,30,1760.96,0.0
12425,Portugal,2011-09-22 17:31:00,2011-09-22 17:31:00,36,777.2,0.0
12426,Germany,2011-05-29 12:26:00,2011-05-29 12:26:00,30,582.73,0.0
12427,Germany,2010-12-03 10:44:00,2011-11-28 10:48:00,35,825.8,117.43
12428,Finland,2011-03-01 09:33:00,2011-11-14 08:22:00,300,7956.46,79.26
12429,Denmark,2010-12-09 12:05:00,2011-11-30 17:22:00,97,3750.4,0.0
12430,Norway,2011-10-27 15:09:00,2011-10-27 15:09:00,11,256.4,0.0
12431,Australia,2010-12-01 10:03:00,2011-11-04 11:55:00,240,6487.45,71.06
12432,Norway,2011-06-20 13:27:00,2011-10-28 11:43:00,108,5059.32,0.0
12433,Norway,2010-12-01 13:24:00,2011-12-09 10:02:00,420,13375.87,0.0
12434,Australia,2010-12-14 11:12:00,2011-09-16 12:38:00,54,806.14,40.95
12435,Denmark,2011-03-17 07:40:00,2011-09-21 09:06:00,36,7829.89,0.0
12436,Norway,2011-09-01 12:09:00,2011-09-01 12:09:00,16,509.01,0.0
12437,France,2011-01-12 14:13:00,2011-12-08 11:35:00,201,4951.41,54.75
12438,Norway,2011-07-22 13:29:00,2011-11-25 13:28:00,98,2906.85,0.0
12441,France,2010-12-08 10:45:00,2010-12-08 10:45:00,11,173.55,0.0
12442,Spain,2011-12-06 14:22:00,2011-12-06 14:22:00,12,172.06,0.0
12444,Norway,2011-06-21 14:00:00,2011-11-18 13:23:00,177,5005.46,0.0
12445,Spain,2011-11-17 18:43:00,2011-11-17 18:43:00,4,133.4,0.0
12446,RSA,2011-10-13 12:50:00,2011-10-13 12:50:00,58,1002.31,0.0
12447,Belgium,2011-04-10 13:25:00,2011-04-10 13:25:00,26,476.49,0.0
12448,Spain,2011-10-26 13:46:00,2011-10-26 13:46:00,22,449.45,0.0
12449,Belgium,2011-06-05 15:37:00,2011-11-17 13:46:00,191,4067.29,0.0
12450,Spain,2011-06-19 14:36:00,2011-07-06 14:41:00,8,197.88,0.0
12451,Switzerland,2011-01-19 09:05:00,2011-11-29 08:40:00,355,9035.52,102.0
12452,Switzerland,2011-11-23 08:05:00,2011-11-23 10:28:00,23,430.57,2.0
12453,Austria,2011-07-28 14:08:00,2011-07-28 14:08:00,43,707.09,0.0
12454,Spain,2011-10-14 17:13:00,2011-10-17 15:07:00,30,3528.34,3528.34
12455,Spain,2011-02-16 09:56:00,2011-09-27 15:31:00,90,2466.86,0.0
12456,Switzerland,2011-03-30 09:12:00,2011-10-26 14:41:00,129,3181.04,27.15
12457,Switzerland,2011-04-14 18:57:00,2011-10-12 13:46:00,68,2363.23,445.45
12458,Switzerland,2011-02-28 10:55:00,2011-09-29 15:25:00,38,947.4,0.0
