stock_code,product_description,product_category,avg_unit_price,min_unit_price,max_unit_price,transaction_line_count,completed_line_count
10002,INFLATABLE POLITICAL GLOBE,Retail Product,1.06,0.0,1.66,73,71
10080,GROOVY CACTUS INFLATABLE,Retail Product,0.38,0.0,0.85,24,22
10120,DOGGY RUBBER,Retail Product,0.21,0.21,0.21,30,30
10123C,HEARTS WRAPPING TAPE,Retail Product,0.49,0.0,0.65,4,3
10123G,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
10124A,SPOTS ON RED BOOKCOVER TAPE,Retail Product,0.42,0.42,0.42,5,5
10124G,ARMY CAMO BOOKCOVER TAPE,Retail Product,0.42,0.42,0.42,4,4
10125,MINI FUNKY DESIGN TAPES,Retail Product,0.86,0.42,1.66,94,94
10133,COLOURING PENCILS BROWN TUBE,Retail Product,0.65,0.0,1.66,200,198
10134,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
10135,COLOURING PENCILS BROWN TUBE,Retail Product,1.41,0.25,2.51,180,179
11001,ASSTD DESIGN RACING CAR PEN,Retail Product,1.88,0.83,3.36,120,115
15030,FAN BLACK FRAME,Retail Product,0.27,0.0,0.29,14,13
15034,PAPER POCKET TRAVELING FAN,Retail Product,0.37,0.07,0.85,142,138
15036,ASSORTED COLOURS SILK FAN,Retail Product,1.06,0.0,1.63,524,519
15039,SANDALWOOD FAN,Retail Product,1.23,0.53,1.66,149,146
15044A,PINK PAPER PARASOL,Retail Product,3.66,2.55,5.79,104,103
15044B,BLUE PAPER PARASOL,Retail Product,3.44,0.0,5.91,62,60
15044C,PURPLE PAPER PARASOL,Retail Product,3.82,2.55,5.91,91,89
15044D,RED PAPER PARASOL,Retail Product,3.32,2.55,5.91,87,85
15056BL,EDWARDIAN PARASOL BLACK,Retail Product,6.42,1.95,12.72,326,321
15056N,EDWARDIAN PARASOL NATURAL,Retail Product,6.93,1.95,12.72,467,460
15056P,EDWARDIAN PARASOL PINK,Retail Product,6.33,4.6,12.72,150,146
15056bl,EDWARDIAN PARASOL BLACK,Retail Product,12.49,12.46,12.72,62,62
15056n,EDWARDIAN PARASOL NATURAL,Retail Product,12.48,12.46,12.72,84,84
15056p,EDWARDIAN PARASOL PINK,Retail Product,12.5,12.46,12.72,26,26
15058A,BLUE POLKADOT GARDEN PARASOL,Retail Product,8.94,0.0,24.96,95,89
15058B,PINK POLKADOT GARDEN PARASOL,Retail Product,9.74,0.0,24.96,100,97
15058C,ICE CREAM DESIGN GARDEN PARASOL,Retail Product,9.21,0.0,24.96,73,72
15060B,FAIRY CAKE DESIGN UMBRELLA,Retail Product,4.91,0.0,8.47,134,131
15060b,FAIRY CAKE DESIGN UMBRELLA,Retail Product,8.29,8.29,8.29,3,3
16008,SMALL FOLDING SCISSOR(POINTED EDGE),Retail Product,0.13,0.0,0.25,71,70
16010,FOLDING CAMPING SCISSOR W/KNIF & S,Retail Product,0.09,0.0,0.12,4,3
16011,ANIMAL STICKERS,Retail Product,0.21,0.21,0.21,47,47
16012,FOOD/DRINK SPONGE STICKERS,Retail Product,0.21,0.21,0.21,37,37
16014,SMALL CHINESE STYLE SCISSOR,Retail Product,0.4,0.32,0.42,54,54
16015,MEDIUM CHINESE STYLE SCISSOR,Retail Product,0.43,0.0,0.5,27,24
16016,LARGE CHINESE STYLE SCISSOR,Retail Product,0.85,0.72,0.85,65,65
16020C,CLEAR STATIONERY BOX SET,Retail Product,0.75,0.0,0.85,19,17
16033,MINI HIGHLIGHTER PENS,Retail Product,0.1,0.0,0.12,5,4
16043,POP ART PUSH DOWN RUBBER,Retail Product,0.08,0.0,0.12,3,2
16045,POPART WOODEN PENCILS ASST,Retail Product,0.04,0.0,0.12,71,69
16046,TEATIME PEN CASE & PENS,Retail Product,0.8,0.0,0.85,18,17
16048,TEATIME ROUND PENCIL SHARPENER,Retail Product,0.33,0.12,0.85,69,69
16049,TEATIME GEL PENS ASST,Retail Product,0.17,0.0,0.42,7,5
16052,TEATIME PUSH DOWN RUBBER,Retail Product,0.55,0.0,0.84,14,13
16053,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
16054,POPART RECT PENCIL SHARPENER ASST,Retail Product,0.13,0.12,0.42,34,33
16151A,FLOWERS HANDBAG blue and orange,Retail Product,0.94,0.0,1.25,4,3
16156L,WRAP CAROUSEL,Retail Product,0.42,0.42,0.42,18,18
16156S,WRAP PINK FAIRY CAKES,Retail Product,0.41,0.0,0.42,168,167
16161G,WRAP BAD HAIR DAY,Retail Product,0.1,0.1,0.1,22,22
16161M,WRAP  PINK FLOCK,Retail Product,0.42,0.42,0.42,1,1
16161P,WRAP ENGLISH ROSE,Retail Product,0.42,0.34,0.42,250,249
16161U,WRAP SUKI AND FRIENDS,Retail Product,0.42,0.36,0.42,135,134
16162L,THE KING GIFT BAG,Retail Product,0.52,0.0,0.65,10,8
16162M,THE KING GIFT BAG 25x24x12cm,Retail Product,0.34,0.0,0.42,10,8
16168M,FUNKY MONKEY GIFT BAG MEDIUM,Retail Product,0.62,0.0,0.85,42,41
16169E,WRAP 50'S  CHRISTMAS,Retail Product,0.42,0.0,0.42,153,150
16169K,WRAP FOLK ART,Retail Product,0.37,0.0,0.42,9,8
16169M,WRAP DAISY CARPET,Retail Product,0.42,0.42,0.42,26,26
16169N,WRAP BLUE RUSSIAN FOLKART,Retail Product,0.42,0.42,0.42,1,1
16169P,WRAP GREEN RUSSIAN FOLKART,Retail Product,0.28,0.0,0.42,3,2
16202A,PASTEL PINK PHOTO ALBUM,Retail Product,0.5,0.5,0.5,2,2
16202B,PASTEL BLUE PHOTO ALBUM,Retail Product,0.33,0.0,0.5,3,2
16202E,BLACK PHOTO ALBUM,Retail Product,1.76,0.5,5.55,4,3
16206B,RED PURSE WITH PINK HEART,Retail Product,1.25,1.25,1.25,2,2
16207A,PINK STRAWBERRY HANDBAG,Retail Product,2.6,0.0,3.29,36,34
16207B,PINK HEART RED HANDBAG,Retail Product,2.43,0.0,5.79,20,18
16216,LETTER SHAPE PENCIL SHARPENER,Retail Product,0.15,0.06,1.25,45,45
16218,CARTOON  PENCIL SHARPENERS,Retail Product,0.27,0.06,2.13,64,64
16219,HOUSE SHAPE PENCIL SHARPENER,Retail Product,0.51,0.06,1.7,101,100
16225,RATTLE SNAKE EGGS,Retail Product,1.46,0.39,3.36,104,104
16235,RECYCLED PENCIL WITH RABBIT ERASER,Retail Product,0.32,0.16,0.43,170,169
16236,KITTY PENCIL ERASERS,Retail Product,0.3,0.16,0.43,136,136
16237,SLEEPING CAT ERASERS,Retail Product,0.3,0.16,0.43,298,297
16238,PARTY TIME PENCIL ERASERS,Retail Product,0.31,0.16,0.43,136,136
16244B,MAXWELL 2 TONE BLUE 60 PAGE PHOTO A,Retail Product,0.82,0.0,1.95,3,2
16248B,BLUE HOLE PUNCH,Retail Product,1.09,0.0,1.25,8,7
16254,TRANSPARENT ACRYLIC TAPE DISPENSER,Retail Product,1.24,0.0,1.63,18,17
16258A,SWIRLY CIRCULAR RUBBERS IN BAG,Retail Product,0.59,0.19,0.84,60,59
16259,PIECE OF CAMO STATIONERY SET,Retail Product,0.09,0.0,0.21,33,31
17001,HEAVENS SCENT FRAGRANCE OILS ASSTD,Retail Product,0.29,0.29,0.29,1,1
17003,BROCADE RING PURSE,Retail Product,1.06,0.16,57.6,245,242
17007B,S/3 POT POURI CUSHIONS BLUE COLOURS,Retail Product,1.4,0.0,2.1,3,2
17011A,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
17011F,ORIGAMI SANDLEWOOD INCENSE+FLOWER,Retail Product,1.38,0.0,4.21,8,7
17012A,ORIGAMI VANILLA INCENSE/CANDLE SET,Retail Product,1.93,0.0,2.55,67,66
17012B,ORIGAMI JASMINE INCENSE/CANDLE SET,Retail Product,1.84,0.0,2.55,87,85
17012C,ORIGAMI LAVENDER INCENSE/CANDL SET,Retail Product,1.76,0.0,2.55,87,86
17012D,ORIGAMI ROSE INCENSE/CANDLE SET,Retail Product,1.82,0.85,2.55,99,99
17012E,ORIGAMI OPIUM INCENSE/CANDLE SET,Retail Product,2.15,0.5,2.55,11,11
17012F,ORIGAMI SANDLEWOOD INCENSE/CAND SET,Retail Product,1.78,0.0,2.55,95,94
17013D,ORIGAMI ROSE INCENSE IN TUBE,Retail Product,1.08,0.0,3.36,15,13
17014A,ORIGAMI VANILLA INCENSE CONES,Retail Product,0.85,0.0,3.36,9,8
17021,NAMASTE SWAGAT INCENSE,Retail Product,0.29,0.24,0.3,57,57
17028J,INCENSE BAZAAR PEACH,Retail Product,0.42,0.42,0.42,1,1
17038,PORCELAIN BUDAH INCENSE HOLDER,Retail Product,0.42,0.07,0.85,34,34
17084A,TRANQUILITY MASALA INCENSE,Retail Product,0.21,0.21,0.21,7,7
17084J,LOVE POTION MASALA INCENSE,Retail Product,0.21,0.21,0.21,8,8
17084N,FAIRY DREAMS INCENSE,Retail Product,0.35,0.16,0.43,101,101
17084P,DRAGONS BLOOD INCENSE,Retail Product,0.35,0.21,0.43,39,39
17084R,ASSORTED INCENSE PACK,Retail Product,0.2,0.16,0.21,27,27
17090A,LAVENDER INCENSE 40 CONES IN TIN,Retail Product,1.17,0.85,1.25,10,10
17090D,VANILLA INCENSE 40 CONES IN TIN,Retail Product,1.16,0.0,1.25,14,13
17091A,LAVENDER INCENSE IN TIN,Retail Product,0.73,0.0,1.25,28,26
17091J,VANILLA INCENSE IN TIN,Retail Product,0.7,0.38,2.51,99,99
17096,ASSORTED LAQUERED INCENSE HOLDERS,Retail Product,0.28,0.0,0.43,26,24
17107D,"FLOWER FAIRY,5 SUMMER B'DRAW LINERS",Retail Product,2.55,2.55,2.55,47,47
17109D,FLOWER FAIRY INCENSE BOUQUET,Retail Product,0.75,0.0,1.69,6,5
17129F,BLUE GLASS GEMS IN BAG,Retail Product,1.36,0.64,1.66,58,57
17136A,BLUE STONES ON WIRE FOR CANDLE,Retail Product,0.09,0.0,0.21,21,20
17164B,ASS COL SMALL SAND GECKO P'WEIGHT,Retail Product,0.42,0.42,0.42,10,10
17165D,ASS COL LARGE SAND FROG P'WEIGHT,Retail Product,0.82,0.0,1.05,9,7
17174,ASSTD RASTA KEY-CHAINS,Retail Product,0.42,0.42,0.42,3,3
17191A,ROSE FLOWER CANDLE+INCENSE 16X16CM,Retail Product,3.75,3.75,3.75,2,2
18007,ESSENTIAL BALM 3.5g TIN IN ENVELOPE,Retail Product,0.27,0.0,0.43,32,31
18094C,WHITE AND BLUE CERAMIC OIL BURNER,Retail Product,1.91,0.0,2.51,43,42
18097A,PINK TALL PORCELAIN T-LIGHT HOLDER,Retail Product,2.04,0.0,2.55,5,4
18097C,WHITE TALL PORCELAIN T-LIGHT HOLDER,Retail Product,3.06,1.95,5.06,75,73
18098C,PORCELAIN BUTTERFLY OIL BURNER,Retail Product,3.41,0.0,5.91,55,51
18098c,PORCELAIN BUTTERFLY OIL BURNER,Retail Product,5.06,5.06,5.06,12,12
20615,BLUE POLKADOT PASSPORT COVER,Retail Product,2.51,0.0,4.21,97,95
20616,CHERRY BLOSSOM PASSPORT COVER,Retail Product,1.81,0.75,4.21,71,71
20617,FIRST CLASS PASSPORT COVER,Retail Product,2.25,0.83,4.21,43,43
20618,QUEEN OF THE SKIES PASSPORT COVER,Retail Product,2.03,1.63,4.21,76,76
20619,TROPICAL PASSPORT COVER,Retail Product,2.14,0.75,4.21,99,99
20622,VIPPASSPORT COVER,Retail Product,2.4,0.75,4.21,52,52
20652,BLUE POLKADOT LUGGAGE TAG,Retail Product,1.51,0.0,2.51,84,81
20653,CHERRY BLOSSOM LUGGAGE TAG,Retail Product,1.48,0.83,2.51,33,33
20654,FIRST CLASS LUGGAGE TAG,Retail Product,1.38,0.83,2.46,50,50
20655,QUEEN OF SKIES LUGGAGE TAG,Retail Product,1.72,0.83,2.51,99,99
20657,TROPICAL LUGGAGE TAG,Retail Product,1.72,1.06,2.46,33,33
20658,RED RETROSPOT LUGGAGE TAG,Retail Product,1.73,0.0,2.51,110,108
20659,ECONOMY LUGGAGE TAG,Retail Product,1.63,0.83,2.51,65,65
20661,BLUE POLKADOT PURSE,Retail Product,3.4,2.46,5.79,33,33
20662,FIRST CLASS HOLIDAY PURSE,Retail Product,2.88,2.46,5.79,20,20
20663,QUEEN OF THE SKIES HOLIDAY PURSE,Retail Product,2.69,2.46,5.79,20,20
20664,TROPICAL HOLIDAY PURSE,Retail Product,2.41,0.0,2.95,19,18
20665,RED RETROSPOT PURSE,Retail Product,3.99,0.0,5.91,159,156
20666,ECONOMY HOLIDAY PURSE,Retail Product,1.62,0.0,2.95,18,17
20667,CHERRY BLOSSOM PURSE,Retail Product,2.49,2.46,2.95,16,16
20668,DISCO BALL CHRISTMAS DECORATION,Retail Product,0.16,0.1,0.43,222,222
20669,RED HEART LUGGAGE TAG,Retail Product,1.68,0.0,2.51,102,101
20670,VIP HOLIDAY PURSE,Retail Product,3.24,2.46,5.79,11,11
20671,BLUE TEATIME PRINT BOWL,Retail Product,0.83,0.0,1.25,3,2
20674,GREEN POLKADOT BOWL,Retail Product,1.56,1.06,2.51,209,208
20675,BLUE POLKADOT BOWL,Retail Product,1.58,1.06,2.51,327,325
20676,RED RETROSPOT BOWL,Retail Product,1.63,1.06,3.36,459,456
20677,PINK POLKADOT BOWL,Retail Product,1.65,1.06,3.36,340,339
20678,LARGE BLACK DIAMANTE HAIRSLIDE,Retail Product,1.65,1.65,1.65,1,1
20679,EDWARDIAN PARASOL RED,Retail Product,6.99,4.6,12.72,330,327
20681,PINK POLKADOT CHILDRENS UMBRELLA,Retail Product,4.0,0.0,6.77,51,47
20682,RED RETROSPOT CHILDRENS UMBRELLA,Retail Product,3.95,0.0,6.77,248,239
20684,STRAWBERRY DREAM CHILDS UMBRELLA,Retail Product,3.27,0.0,6.77,39,36
20685,DOORMAT RED RETROSPOT,Retail Product,8.92,0.0,16.98,707,699
20686,DOLLY MIXTURE CHILDREN'S UMBRELLA,Retail Product,3.81,0.0,6.77,79,78
20689,UNKNOWN_DESCRIPTION,Retail Product,0.0,0.0,0.0,1,0
20694,FLORAL PINK MONSTER,Retail Product,4.8,0.0,7.62,18,17
20695,FLORAL BLUE MONSTER,Retail Product,4.25,4.25,4.25,4,4
20696,FLORAL SOFT CAR TOY,Retail Product,4.72,3.29,7.62,30,30
20697,LITTLE GREEN MONSTER SOFT TOY,Retail Product,2.55,2.55,2.55,13,13
