raw_row_id,invoice_no,stock_code,description,customer_id,country,transaction_status,issue_type,issue_description
142,C536379,D,Discount,14527,United Kingdom,Cancelled/Return,Cancelled Invoice,"Invoice number begins with C, indicating a cancellation."
142,C536379,D,Discount,14527,United Kingdom,Cancelled/Return,Negative Quantity,"Quantity is negative, indicating a return/cancellation or source system adjustment."
155,C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,15311,United Kingdom,Cancelled/Return,Cancelled Invoice,"Invoice number begins with C, indicating a cancellation."
155,C536383,35004C,SET OF 3 COLOURED  FLYING DUCKS,15311,United Kingdom,Cancelled/Return,Negative Quantity,"Quantity is negative, indicating a return/cancellation or source system adjustment."
236,C536391,22556,PLASTERS IN TIN CIRCUS PARADE,17548,United Kingdom,Cancelled/Return,Cancelled Invoice,"Invoice number begins with C, indicating a cancellation."
236,C536391,22556,PLASTERS IN TIN CIRCUS PARADE,17548,United Kingdom,Cancelled/Return,Negative Quantity,"Quantity is negative, indicating a return/cancellation or source system adjustment."
237,C536391,21984,PACK OF 12 PINK PAISLEY TISSUES,17548,United Kingdom,Cancelled/Return,Cancelled Invoice,"Invoice number begins with C, indicating a cancellation."
237,C536391,21984,PACK OF 12 PINK PAISLEY TISSUES,17548,United Kingdom,Cancelled/Return,Negative Quantity,"Quantity is negative, indicating a return/cancellation or source system adjustment."
238,C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES,17548,United Kingdom,Cancelled/Return,Cancelled Invoice,"Invoice number begins with C, indicating a cancellation."
238,C536391,21983,PACK OF 12 BLUE PAISLEY TISSUES,17548,United Kingdom,Cancelled/Return,Negative Quantity,"Quantity is negative, indicating a return/cancellation or source system adjustment."
239,C536391,21980,PACK OF 12 RED RETROSPOT TISSUES,17548,United Kingdom,Cancelled/Return,Cancelled Invoice,"Invoice number begins with C, indicating a cancellation."
239,C536391,21980,PACK OF 12 RED RETROSPOT TISSUES,17548,United Kingdom,Cancelled/Return,Negative Quantity,"Quantity is negative, indicating a return/cancellation or source system adjustment."
240,C536391,21484,CHICK GREY HOT WATER BOTTLE,17548,United Kingdom,Cancelled/Return,Cancelled Invoice,"Invoice number begins with C, indicating a cancellation."
240,C536391,21484,CHICK GREY HOT WATER BOTTLE,17548,United Kingdom,Cancelled/Return,Negative Quantity,"Quantity is negative, indicating a return/cancellation or source system adjustment."
241,C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY,17548,United Kingdom,Cancelled/Return,Cancelled Invoice,"Invoice number begins with C, indicating a cancellation."
241,C536391,22557,PLASTERS IN TIN VINTAGE PAISLEY,17548,United Kingdom,Cancelled/Return,Negative Quantity,"Quantity is negative, indicating a return/cancellation or source system adjustment."
242,C536391,22553,PLASTERS IN TIN SKULLS,17548,United Kingdom,Cancelled/Return,Cancelled Invoice,"Invoice number begins with C, indicating a cancellation."
242,C536391,22553,PLASTERS IN TIN SKULLS,17548,United Kingdom,Cancelled/Return,Negative Quantity,"Quantity is negative, indicating a return/cancellation or source system adjustment."
486,536409,22111,SCOTTIE DOG HOT WATER BOTTLE,17908,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
490,536409,22866,HAND WARMER SCOTTY DOG DESIGN,17908,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
495,536409,21866,UNION JACK FLAG LUGGAGE TAG,17908,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
518,536409,21866,UNION JACK FLAG LUGGAGE TAG,17908,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
522,536409,22900,SET 2 TEA TOWELS I LOVE LONDON,17908,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
528,536409,22866,HAND WARMER SCOTTY DOG DESIGN,17908,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
538,536409,22900,SET 2 TEA TOWELS I LOVE LONDON,17908,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
540,536409,22111,SCOTTIE DOG HOT WATER BOTTLE,17908,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
549,536412,22327,ROUND SNACK BOXES SET OF 4 SKULLS,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
556,536412,22327,ROUND SNACK BOXES SET OF 4 SKULLS,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
557,536412,22273,FELTCRAFT DOLL MOLLY,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
566,536412,21448,12 DAISY PEGS IN WOOD BOX,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
570,536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
575,536412,22141,CHRISTMAS CRAFT TREE TOP ANGEL,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
579,536412,21448,12 DAISY PEGS IN WOOD BOX,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
588,536412,22273,FELTCRAFT DOLL MOLLY,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
590,536412,22749,FELTCRAFT PRINCESS CHARLOTTE DOLL,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
595,536412,22141,CHRISTMAS CRAFT TREE TOP ANGEL,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
598,536412,22569,FELTCRAFT CUSHION BUTTERFLY,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
599,536412,21448,12 DAISY PEGS IN WOOD BOX,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
601,536412,22569,FELTCRAFT CUSHION BUTTERFLY,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
602,536412,21448,12 DAISY PEGS IN WOOD BOX,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
604,536412,22902,TOTE BAG I LOVE LONDON,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
605,536412,21448,12 DAISY PEGS IN WOOD BOX,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
606,536412,22902,TOTE BAG I LOVE LONDON,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
608,536412,21708,FOLDING UMBRELLA CREAM POLKADOT,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
612,536412,22900,SET 2 TEA TOWELS I LOVE LONDON,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
613,536412,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
616,536412,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
617,536412,21708,FOLDING UMBRELLA CREAM POLKADOT,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
618,536412,22900,SET 2 TEA TOWELS I LOVE LONDON,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
619,536412,21706,FOLDING UMBRELLA RED/WHITE POLKADOT,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
621,536412,85184C,S/4 VALENTINE DECOUPAGE HEART BOX,17920,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
623,536414,22139,UNKNOWN_DESCRIPTION,UNKNOWN,United Kingdom,Data Issue,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
623,536414,22139,UNKNOWN_DESCRIPTION,UNKNOWN,United Kingdom,Data Issue,Missing Description,Product description was missing and was standardized as UNKNOWN_DESCRIPTION.
623,536414,22139,UNKNOWN_DESCRIPTION,UNKNOWN,United Kingdom,Data Issue,Zero or Negative Unit Price,Unit price is zero or negative and should be excluded from revenue KPIs.
758,536446,21651,HANGING GLASS ETCHED TEALIGHT,15983,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
759,536446,21651,HANGING GLASS ETCHED TEALIGHT,15983,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
809,536464,21992,VINTAGE PAISLEY STATIONERY SET,17968,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
814,536464,22945,CHRISTMAS METAL TAGS ASSORTED,17968,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
830,536464,22866,HAND WARMER SCOTTY DOG DESIGN,17968,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
832,536464,22866,HAND WARMER SCOTTY DOG DESIGN,17968,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
836,536464,22945,CHRISTMAS METAL TAGS ASSORTED,17968,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
853,536464,21992,VINTAGE PAISLEY STATIONERY SET,17968,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
860,536464,22866,HAND WARMER SCOTTY DOG DESIGN,17968,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
891,536488,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,17897,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
892,536488,84347,ROTATING SILVER ANGELS T-LIGHT HLDR,17897,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
940,C536506,22960,JAM MAKING SET WITH JARS,17897,United Kingdom,Cancelled/Return,Cancelled Invoice,"Invoice number begins with C, indicating a cancellation."
940,C536506,22960,JAM MAKING SET WITH JARS,17897,United Kingdom,Cancelled/Return,Negative Quantity,"Quantity is negative, indicating a return/cancellation or source system adjustment."
1037,536522,21121,SET/10 RED POLKADOT PARTY CANDLES,15012,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1062,536522,21121,SET/10 RED POLKADOT PARTY CANDLES,15012,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1063,536522,21122,SET/10 PINK POLKADOT PARTY CANDLES,15012,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1068,536522,21122,SET/10 PINK POLKADOT PARTY CANDLES,15012,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1126,536528,22865,HAND WARMER OWL DESIGN,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1129,536528,84985A,SET OF 72 GREEN PAPER DOILIES,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1130,536528,85114B,IVORY ENCHANTED FOREST PLACEMAT,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1133,536528,22839,3 TIER CAKE TIN GREEN AND CREAM,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1134,536528,22584,PACK OF 6 PANNETONE GIFT BOXES,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1137,536528,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1141,536528,22865,HAND WARMER OWL DESIGN,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1154,536528,85114B,IVORY ENCHANTED FOREST PLACEMAT,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1160,536528,22584,PACK OF 6 PANNETONE GIFT BOXES,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1161,536528,22744,MAKE YOUR OWN MONSOON CARD KIT,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1162,536528,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1163,536528,22911,PAPER CHAIN KIT LONDON,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1166,536528,22911,PAPER CHAIN KIT LONDON,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1167,536528,22743,MAKE YOUR OWN FLOWERPOWER CARD KIT,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1168,536528,22744,MAKE YOUR OWN MONSOON CARD KIT,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1170,536528,22411,JUMBO SHOPPER VINTAGE RED PAISLEY,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1173,536528,84985A,SET OF 72 GREEN PAPER DOILIES,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1180,536528,22839,3 TIER CAKE TIN GREEN AND CREAM,15525,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1202,536530,22097,SWALLOW SQUARE TISSUE BOX,17905,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1206,536530,22097,SWALLOW SQUARE TISSUE BOX,17905,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1218,536531,21498,RED RETROSPOT WRAP,15485,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1223,536531,21498,RED RETROSPOT WRAP,15485,United Kingdom,Completed,Duplicate Row,Row appears to be duplicated based on core transaction fields.
1442,C536543,22632,HAND WARMER RED RETROSPOT,17841,United Kingdom,Cancelled/Return,Cancelled Invoice,"Invoice number begins with C, indicating a cancellation."
1442,C536543,22632,HAND WARMER RED RETROSPOT,17841,United Kingdom,Cancelled/Return,Negative Quantity,"Quantity is negative, indicating a return/cancellation or source system adjustment."
1443,C536543,22355,CHARLOTTE BAG SUKI DESIGN,17841,United Kingdom,Cancelled/Return,Cancelled Invoice,"Invoice number begins with C, indicating a cancellation."
1443,C536543,22355,CHARLOTTE BAG SUKI DESIGN,17841,United Kingdom,Cancelled/Return,Negative Quantity,"Quantity is negative, indicating a return/cancellation or source system adjustment."
1444,536544,21773,DECORATIVE ROSE BATHROOM BOTTLE,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1445,536544,21774,DECORATIVE CATS BATHROOM BOTTLE,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1446,536544,21786,POLKADOT RAIN HAT,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1447,536544,21787,RAIN PONCHO RETROSPOT,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1448,536544,21790,VINTAGE SNAP CARDS,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1449,536544,21791,VINTAGE HEADS AND TAILS CARD GAME,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1450,536544,21801,CHRISTMAS TREE DECORATION WITH BELL,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1451,536544,21802,CHRISTMAS TREE HEART DECORATION,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1452,536544,21803,CHRISTMAS TREE STAR DECORATION,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1453,536544,21809,CHRISTMAS HANGING TREE WITH BELL,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1454,536544,21810,CHRISTMAS HANGING STAR WITH BELL,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1455,536544,21811,CHRISTMAS HANGING HEART WITH BELL,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1456,536544,21821,GLITTER STAR GARLAND WITH BELLS,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1457,536544,21822,GLITTER CHRISTMAS TREE WITH BELLS,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1458,536544,21823,PAINTED METAL HEART WITH HOLLY BELL,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1459,536544,21844,RED RETROSPOT MUG,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1460,536544,21851,LILAC DIAMANTE PEN IN GIFT BOX,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1461,536544,21870,I CAN ONLY PLEASE ONE PERSON MUG,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1462,536544,21871,SAVE THE PLANET MUG,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1463,536544,21874,GIN AND TONIC MUG,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1464,536544,21879,HEARTS GIFT TAPE,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1465,536544,21884,CAKES AND BOWS GIFT  TAPE,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1466,536544,21888,BINGO SET,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1467,536544,21889,WOODEN BOX OF DOMINOES,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1468,536544,21892,TRADITIONAL WOODEN CATCH CUP GAME,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1469,536544,21894,POTTING SHED SEED ENVELOPES,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1470,536544,21911,GARDEN METAL SIGN,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1471,536544,21912,VINTAGE SNAKES & LADDERS,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1472,536544,21913,VINTAGE SEASIDE JIGSAW PUZZLES,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1473,536544,21914,BLUE HARMONICA IN BOX,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1474,536544,21915,RED  HARMONICA IN BOX,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1475,536544,21922,UNION STRIPE WITH FRINGE  HAMMOCK,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1476,536544,21928,JUMBO BAG SCANDINAVIAN PAISLEY,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1477,536544,21935,SUKI  SHOULDER BAG,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1478,536544,21942,SKULLS DESIGN FLANNEL,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1479,536544,21944,KITTENS DESIGN FLANNEL,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1480,536544,21949,SET OF 6 STRAWBERRY CHOPSTICKS,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1481,536544,21975,PACK OF 60 DINOSAUR CAKE CASES,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1482,536544,21977,PACK OF 60 PINK PAISLEY CAKE CASES,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1483,536544,21982,PACK OF 12 SUKI TISSUES,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1484,536544,21990,MODERN FLORAL STATIONERY SET,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1485,536544,21991,BOHEMIAN COLLAGE STATIONERY SET,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1486,536544,21992,VINTAGE PAISLEY STATIONERY SET,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1487,536544,21993,FLORAL FOLK STATIONERY SET,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1488,536544,22037,ROBOT BIRTHDAY CARD,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1489,536544,22043,CHRISTMAS CARD SCREEN PRINT,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1490,536544,22064,PINK DOUGHNUT TRINKET POT,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1491,536544,22065,CHRISTMAS PUDDING TRINKET POT,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1492,536544,22067,CHOC TRUFFLE GOLD TRINKET POT,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1493,536544,22068,BLACK PIRATE TREASURE CHEST,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1494,536544,22069,BROWN  PIRATE TREASURE CHEST,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1495,536544,22071,SMALL WHITE RETROSPOT MUG IN BOX,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
1496,536544,22075,6 RIBBONS ELEGANT CHRISTMAS,UNKNOWN,United Kingdom,Completed,Missing Customer ID,CustomerID was missing in the raw dataset and was standardized as UNKNOWN.
