stock_code,product_description,completed_transaction_lines,units_sold,total_completed_sales
DOT,"DOTCOM POSTAGE",706,706,206248.77
22423,"REGENCY CAKESTAND 3 TIER",2017,13879,174484.74
23843,"PAPER CRAFT , LITTLE BIRDIE",1,80995,168469.6
85123A,"WHITE HANGING HEART T-LIGHT HOLDER",2265,37660,104518.8
47566,"PARTY BUNTING",1706,18295,99504.33
85099B,"JUMBO BAG RED RETROSPOT",2112,48474,94340.05
23166,"MEDIUM CERAMIC TOP STORAGE JAR",250,78033,81700.92
M,Manual,321,7224,78110.27
POST,POSTAGE,1126,3150,78101.88
23084,"RABBIT NIGHT LIGHT",1036,30788,66964.99
